discount,total_orders,revenue_after_discount
0.44,1,2386.84
0.47,1,2451.82
1.11,1,703.52
1.14,1,324.22
1.24,1,239.97
1.51,1,481.93
1.64,1,791.3100000000001
1.98,1,2238.52
2.02,1,2097.97
2.17,1,383.49
2.39,1,1469.7199999999998
2.54,1,1580.0900000000001
3.59,1,2109.2999999999997
3.69,1,2171.29
3.71,1,1702.73
3.73,1,1480.79
3.93,1,1847.11
4.37,1,259.9
4.52,1,1194.05
4.88,1,1963.01
5.58,1,609.8
6.61,1,628.23
6.82,1,1228.3200000000002
7.26,1,1558.66
7.42,1,820.5200000000001
7.79,1,2233.16
7.82,1,814.18
8.72,1,554.78
8.92,1,2358.61
9.69,1,1923.58
9.78,1,1237.71
10.4,1,190.04999999999998
10.41,1,1483.31
10.6,1,854.5799999999999
10.75,1,1017.6800000000001
10.97,1,660.9599999999999
11.1,1,1676.8200000000002
11.11,1,2486.65
11.13,1,1093.3799999999999
11.65,1,1128.56
11.95,1,791.0799999999999
12.19,1,462.32
12.2,1,799.18
12.21,1,2316.84
12.56,1,2002.6200000000001
12.6,1,207.94
12.67,1,1461.22
12.72,1,2089.4
13.2,1,1852.03
14.09,1,1779.66
15.86,1,1510.91
16.14,1,2405.28
16.36,1,1593.8500000000001
16.6,1,1982.5400000000002
16.66,1,926.63
16.85,1,270.46999999999997
17.24,1,343.71
17.55,1,244.94
19.14,1,417.78000000000003
19.22,1,1182.1499999999999
19.28,1,467.49
19.69,1,2000.74
20.2,1,1028.45
20.21,1,848.29
20.34,1,753.6
20.47,1,1294.48
20.68,1,2373.7000000000003
21.21,1,2157.67
21.49,1,744.88
21.52,1,487.32
21.88,1,415.68
22.11,1,552
22.26,1,2366.56
22.5,1,2287.59
22.96,1,398.61
23.05,1,1646.53
23.08,1,2380.91
23.34,1,938.35
23.58,1,475.92
24.54,1,623.0600000000001
24.73,1,1001.1800000000001
25.28,1,2200.9599999999996
25.41,1,1066.53
25.43,1,2344.9500000000003
25.47,1,2416.01
25.5,1,1689.16
26.05,1,2417.9399999999996
26.28,1,2184.6099999999997
26.32,1,1275.45
26.53,2,4132.8099999999995
26.7,1,202.62
27.05,1,2202.81
27.42,1,535.2900000000001
27.69,1,440.79
28.07,1,456.33
28.61,1,2056.2799999999997
28.66,1,1777.9399999999998
28.7,1,1179.9199999999998
28.77,1,855.25
29.02,1,1610.77
29.1,1,1275.66
29.21,1,955.68
29.28,1,587.33
29.73,1,1481.81
30.02,1,2029.13
30.24,1,1717.21
30.27,1,1562.95
30.43,1,1425.4299999999998
30.54,1,2430.6
31.24,1,1558.6299999999999
31.57,1,1864.71
31.94,1,1104.47
32.35,1,265.44
32.4,1,1519.57
32.41,1,1933.99
32.65,1,1287.3799999999999
32.76,1,2267.0699999999997
32.79,1,1574.93
32.81,1,1288.3400000000001
33.1,1,2127.23
33.57,1,198.34
34.2,1,436.59000000000003
34.62,1,906.86
34.65,1,1254.56
34.8,1,1902.81
35,1,178.45
35.05,1,595.9200000000001
35.08,1,2209.94
35.42,2,2399.12
35.5,1,1814.3
36.08,1,2226.71
36.11,1,1215.44
36.22,1,614.4
37.13,1,1453.27
37.25,1,570.39
37.86,1,2021.6000000000001
37.92,1,1181.35
38.05,1,1276.9
38.07,1,2156.14
38.16,1,626.9300000000001
38.23,1,1877.51
38.36,1,263.21
38.37,1,722.07
38.46,1,1519.61
38.97,1,2130.84
39.1,1,1270.0500000000002
39.16,1,1773.82
40.05,1,2169.0099999999998
40.39,1,2358.85
40.42,1,983.37
40.73,1,2401.71
41.33,1,928.27
41.4,1,1969.1999999999998
41.69,1,227.55
41.83,1,2228.57
42.11,1,1899.46
42.48,1,242.34
42.64,1,1977.1299999999999
43.45,1,1609.49
43.54,1,1248.02
44.06,1,2204.77
44.21,1,2327.6
44.45,1,1925.9099999999999
44.59,1,277.82000000000005
45.72,1,1749.23
45.8,1,1390.81
46.05,1,1711.93
46.13,1,2078.92
46.24,1,1914.95
46.25,1,2301.82
46.61,1,2394.31
46.83,1,1212.02
47.25,1,466.59000000000003
47.97,1,1559.8
48.78,1,1392.91
49.24,1,2185.57
49.25,1,256.04
50.18,1,1819.62
50.42,1,1891.9499999999998
50.51,1,1522.26
50.63,1,1762.27
50.72,1,1237.55
50.85,1,1725.38
50.93,1,412.34999999999997
51.19,1,1834.81
51.53,1,2366.2799999999997
52.5,1,1355.23
53.23,1,823.38
53.29,1,1248.43
53.4,1,1063.9699999999998
54.17,1,1909.58
54.38,1,1705.9199999999998
54.48,1,1394.86
54.57,1,1098.77
55.17,1,933.95
55.2,1,472.45
56.15,1,2126.0899999999997
56.35,1,863.72
56.47,1,1438.68
56.65,1,1335.99
57.83,1,208.75
57.98,1,458.29999999999995
58.36,1,1536.2800000000002
58.62,1,1112.1200000000001
58.8,1,706.9200000000001
59.12,1,982.1999999999999
59.62,1,1608.98
59.66,1,342.78999999999996
60.01,1,1491.48
60.09,1,1072.45
60.2,1,2392.4700000000003
60.7,1,389.01
61.65,1,1752.6499999999999
61.85,1,1730.5700000000002
61.98,1,1130.03
62.21,1,516.92
62.34,1,335.64
62.81,1,1176.91
63.23,1,163.96
63.7,1,1990.2
63.83,1,163.73000000000002
64.41,1,533.0500000000001
65.4,1,2286.25
66.11,1,1554.19
66.17,1,1971.9299999999998
66.63,1,777.98
66.68,1,1638.52
66.87,1,2370.28
67.36,1,1834.3100000000002
67.72,1,1017.1199999999999
67.77,1,1056.89
68.01,1,394.12
68.02,1,2132.4900000000002
68.03,1,1947.29
68.7,1,1857.57
69.44,1,231.53000000000003
69.75,1,1227.67
69.85,1,1072.3000000000002
70.39,1,417.2
70.46,1,1824.8999999999999
70.57,1,2120.49
70.84,1,1708.93
71.14,1,652.76
71.87,1,1099.2800000000002
72.11,1,1191.6100000000001
72.95,1,1149.69
73.85,1,137.26000000000002
73.98,1,704.93
74.28,1,1646.57
74.48,1,641.91
74.5,1,1162.75
74.97,1,1130.37
75.12,1,1630.4299999999998
75.18,1,211.7
75.27,1,753.33
76.5,1,1466.67
76.87,1,1816.17
77.38,1,2176.5499999999997
77.47,1,2413.23
77.6,2,3374.91
77.62,1,146.64
77.93,1,2057.71
78.09,1,1457.03
78.99,1,1146.29
80.37,1,1436.87
80.78,1,1757.1200000000001
80.99,1,1642.72
81.32,1,1382.22
82.14,1,2264.34
82.21,1,1933.22
82.33,1,1715.29
83.07,1,864.75
83.2,1,371.98
83.33,1,1932.91
83.47,1,1302.44
83.74,1,1199.07
84.24,1,1299.2
84.39,1,2049.1800000000003
85.23,1,572.75
85.61,1,687.02
87.17,1,377.77
87.18,1,1386.83
87.45,1,1154.3899999999999
88.22,1,711.0699999999999
88.45,1,669.5999999999999
88.63,1,1221.7399999999998
89.8,1,2030.9399999999998
89.86,1,493.38
90.09,1,699.27
90.49,1,209.06
90.75,1,1534.46
90.85,1,876.06
91.39,1,1578.32
92.5,1,1005.9200000000001
92.6,1,446.43999999999994
92.86,1,1072.18
93.44,1,1774.03
93.75,1,1941.88
93.96,1,1651.8899999999999
94.02,1,2327.59
94.37,1,428.30999999999995
94.95,1,156.19
95.26,1,413.55
95.34,1,2174.93
95.39,1,1701.62
96.19,1,1832.1
96.26,2,4039.66
96.79,1,456.72999999999996
96.97,1,409.4
97.04,2,3010.13
97.47,1,2289.59
97.56,1,2081.29
97.79,1,1465.44
99.3,1,1370.0900000000001
99.38,1,2344.5
99.47,1,1663.56
99.51,1,1156.71
99.52,1,1428.49
99.82,1,2231.12
99.97,1,1205.97
100.13,1,1355.73
100.71,1,1526.34
102.57,1,1232.66
102.92,1,149.02999999999997
103.99,1,744.25
104.35,1,2277.87
104.71,1,221.94
105.43,1,1187.84
105.47,1,1116.8899999999999
105.56,1,1259.01
105.9,1,1640.27
106.54,1,98.51
106.97,1,584.72
107.87,1,2279.46
108.09,1,689.38
108.11,1,208.18
108.38,1,1232
108.53,1,1919.07
109,1,2276.82
109.16,1,299.11
109.26,1,215
109.68,1,345.54
109.98,1,478.67999999999995
110.38,1,294.46
110.48,1,647.46
110.62,1,368.21
110.83,1,233.75
111.06,1,1198.6200000000001
111.11,1,1289.5900000000001
111.14,1,375.82
111.44,1,441.16
111.85,1,938.3000000000001
111.94,1,2320.19
112.05,1,497.48999999999995
112.23,1,2239.42
112.24,1,596.13
112.39,1,2223.9
112.57,1,867.48
112.72,1,551.91
112.94,1,1061.82
113.22,1,2195.2200000000003
113.59,1,1352.5500000000002
114.21,1,617.48
114.26,1,330.62
114.37,1,1901.6100000000001
114.79,1,2320.98
114.92,1,247.99
115.07,1,381.47
115.41,1,666.45
115.43,1,1220.11
115.77,1,2180.32
115.93,1,230.59999999999997
116.89,1,437.95000000000005
118.77,1,2066.52
119.39,1,2219.65
119.77,1,227.36
120.08,1,341.73
120.18,1,919.5
120.24,1,1182
120.72,1,972.8399999999999
121.61,1,2089.0499999999997
122.1,1,2149.2200000000003
122.15,1,2178.75
122.85,1,696.04
123.01,1,91.65999999999998
123.66,1,784.44
123.7,1,312.38
123.87,1,1936.3900000000003
123.93,1,1294.7
124.07,1,334.75
124.27,1,693.78
124.29,1,796.4200000000001
124.34,1,323.52
124.69,1,1650.11
125.03,1,1661.39
125.27,1,2076.71
125.61,1,1491.43
125.74,1,855.85
125.79,1,2311.33
125.9,1,1082.01
125.94,1,2335.23
127.13,1,800.8
128.13,1,76.37
129.02,1,2162.97
129.4,1,1690.9599999999998
129.54,1,2269.68
129.55,1,2235.08
129.58,1,277.61
129.84,1,1342.5800000000002
129.91,1,1519.59
130.11,1,367.52
130.4,1,215.10999999999999
131.25,1,782.14
131.3,1,1828.8300000000002
131.52,1,356.06999999999994
132.02,1,1041.85
132.14,1,1501.1799999999998
132.71,1,807.06
132.77,1,2028.8400000000001
133.58,2,3768.4300000000003
133.64,1,1304.71
133.7,1,1604.86
134.08,1,1847.8300000000002
134.67,1,2163.17
134.87,1,2096.25
134.98,1,1806.93
135.35,1,838.31
136.12,1,1580.6599999999999
136.39,1,1143.8600000000001
136.78,1,2244.6899999999996
137.36,1,872.21
137.57,1,2021.2300000000002
137.89,1,247.16000000000003
138.19,1,419.2
138.61,1,636.05
139,1,1100.41
139.1,1,652.67
139.82,1,438.23999999999995
140.09,1,642.5799999999999
140.14,1,436.03999999999996
140.52,1,803.95
141.2,1,150.93
141.28,1,2200.1699999999996
141.42,1,1453.59
141.76,1,1977.0000000000002
141.91,1,1373.74
142.1,1,1977.9700000000003
142.17,1,2200.79
142.41,1,2015.57
142.57,2,2025.33
142.72,1,1525.3999999999999
142.88,1,2100.69
143.04,1,59.46000000000001
143.55,1,317.63
143.64,1,1163.85
143.73,1,2177.5099999999998
143.86,1,2179.98
145.05,1,1747.57
145.32,1,1137.96
145.47,1,912.46
145.61,1,519.17
145.87,1,848.15
146.27,1,1845.29
146.44,1,1164.6399999999999
146.89,1,1232.21
146.98,1,2047.42
147.08,1,1575.73
147.58,1,1634.29
147.7,1,1479.84
147.89,1,1399.98
149.12,1,1002.7800000000001
149.87,1,309.44
149.88,1,878.4
149.91,1,1529.9299999999998
150.2,1,257.81
150.21,1,79.31
150.78,1,1168.1000000000001
150.85,1,871.86
151.07,1,2114.18
151.23,1,2078.97
151.41,1,1313.51
151.54,1,205.27
152.38,1,1369.38
152.5,1,278.14
152.67,1,337.09000000000003
153.25,1,1641.65
153.38,1,2160.58
153.79,1,1131.82
154,1,259.78
154.02,1,2155.77
154.75,1,1136.46
154.84,1,1327.8700000000001
155.06,1,101.75999999999999
155.49,1,324.46
155.67,1,905.14
156.19,1,738.74
156.28,1,1763.88
156.41,1,1662.1799999999998
156.53,1,990.3700000000001
156.93,1,1978.61
156.96,1,297.11
157.09,1,1727.52
157.57,1,1408.18
157.75,1,1555.47
158.18,1,2182.36
158.82,1,610.1800000000001
159.69,1,2093.49
159.82,1,1862.77
159.86,1,1600.25
159.96,1,1191.53
160.13,1,50.610000000000014
160.64,1,474.28999999999996
160.65,1,1002.1999999999999
160.75,1,1972.13
161.26,1,1837.39
161.44,1,1792.23
161.98,1,132.74000000000004
162.23,1,1137.91
162.24,1,1234.84
162.53,1,2290.98
163.05,1,2004.3999999999999
163.24,1,246.37
163.54,1,914.06
164.2,1,598.6400000000001
164.44,1,404.42
165,1,725.65
165.02,1,2110.7
165.62,1,1314.02
165.94,1,766.23
166.41,1,600.12
166.42,1,1065.9199999999998
166.53,1,1098.16
167.41,1,172.20000000000002
167.69,1,958.6399999999999
167.73,1,1702.3899999999999
168.23,1,1652.98
168.26,1,2306.0200000000004
168.59,1,1657.93
168.68,1,1111.8999999999999
168.95,1,2252.98
