restaurant_id,restaurant_name,total_revenue,revenue_rank
176,Delhi Darbar 176,13877.56,1
92,Burger Factory 92,13162.580000000002,2
288,Urban Tadka 288,12386.44,3
41,Golden Spoon 41,11065.4,4
71,Saffron Delight 71,11001.43,5
212,Saffron Delight 212,10926.5,6
213,Pizza Junction 213,9479.48,7
200,Chai & Chat 200,9419.76,8
147,The Food Studio 147,9413.07,9
252,Mumbai Masala 252,9088.22,10
295,Spice Villa 295,8926.39,11
161,Pizza Junction 161,8906.7,12
253,Spice Villa 253,8782.96,13
56,Kolkata Kitchen 56,8725.18,14
112,Punjabi Dhaba 112,8374.05,15
86,The Food Studio 86,8230.369999999999,16
215,Dragon Wok 215,8108.65,17
201,Biryani House 201,8083.049999999999,18
156,Pizza Junction 156,7956.839999999999,19
146,Mumbai Masala 146,7868.08,20
296,Bombay Bistro 296,7841.98,21
276,Punjabi Dhaba 276,7791.880000000001,22
120,Delhi Darbar 120,7763.58,23
285,Biryani House 285,7662.929999999999,24
284,Chai & Chat 284,7649.6900000000005,25
242,Dragon Wok 242,7591.4400000000005,26
249,Golden Spoon 249,7541.99,27
158,Dragon Wok 158,7537.08,28
168,Annapurna Bhavan 168,7496.389999999999,29
237,Mughal Mahal 237,7457.34,30
155,Delhi Darbar 155,7374.859999999999,31
74,Golden Spoon 74,7271.42,32
174,Delhi Darbar 174,7169.820000000001,33
55,Masala Magic 55,7137.17,34
103,The Curry Leaf 103,7027.01,35
93,South Spice 93,6982.75,36
300,Annapurna Bhavan 300,6956.08,37
142,The Curry Leaf 142,6948.59,38
259,Urban Tadka 259,6866.200000000001,39
63,Masala Magic 63,6786.59,40
172,Chutney Express 172,6740.169999999998,41
184,Dragon Wok 184,6702.09,42
136,Punjabi Dhaba 136,6686.82,43
35,Flavours of India 35,6658.59,44
177,Chutney Express 177,6648.5599999999995,45
233,Punjabi Dhaba 233,6567.24,46
291,South Spice 291,6539.18,47
164,Mughal Mahal 164,6519.98,48
269,Urban Tadka 269,6514.41,49
90,The Food Studio 90,6476.27,50
88,Burger Factory 88,6297.51,51
218,Annapurna Bhavan 218,6292.83,52
196,Punjabi Dhaba 196,6271.64,53
69,Masala Magic 69,6266.34,54
293,Golden Spoon 293,6241.83,55
135,Mumbai Masala 135,6176.7,56
292,Burger Factory 292,6170.299999999999,57
52,Dragon Wok 52,6141.66,58
12,Curry Kingdom 12,6136.879999999999,59
85,The Hungry Panda 85,6110.709999999999,60
79,Dragon Wok 79,6104.4400000000005,61
104,The Food Studio 104,6095.200000000001,62
251,Flavours of India 251,6030.77,63
91,Curry Kingdom 91,6016.86,64
60,Chai & Chat 60,6008.48,65
230,The Curry Leaf 230,5974.01,66
236,Burger Factory 236,5930.620000000001,67
268,The Hungry Panda 268,5905.0599999999995,68
122,Kolkata Kitchen 122,5891.62,69
84,Dragon Wok 84,5886.62,70
24,Delhi Darbar 24,5863.549999999999,71
219,South Spice 219,5813.48,72
34,South Spice 34,5793.37,73
96,Mumbai Masala 96,5772.33,74
3,South Spice 3,5731.049999999999,75
44,Golden Spoon 44,5708.91,76
267,Taste of Punjab 267,5697.45,77
203,Golden Spoon 203,5692.39,78
193,The Curry Leaf 193,5691.44,79
73,Kolkata Kitchen 73,5650.349999999999,80
133,Biryani House 133,5538.42,81
228,Pizza Junction 228,5537.71,82
145,South Spice 145,5493.93,83
143,Royal Tandoor 143,5409.79,84
226,Mumbai Masala 226,5377.349999999999,85
40,Pizza Junction 40,5333.85,86
243,South Spice 243,5328.49,87
179,Curry Kingdom 179,5274.47,88
77,The Food Studio 77,5228.25,89
214,Chai & Chat 214,5223.16,90
223,Annapurna Bhavan 223,5209.3099999999995,91
54,Royal Tandoor 54,5206.84,92
167,Taste of Punjab 167,5153.389999999999,93
46,The Hungry Panda 46,5077.009999999999,94
67,Golden Spoon 67,5049.710000000001,95
232,Caf̩ Masaledar 232,4988.42,96
238,Masala Magic 238,4949.199999999999,97
25,Chai & Chat 25,4910.43,98
150,Rasoi Ghar 150,4845.14,99
255,Golden Spoon 255,4782.22,100
31,Bombay Bistro 31,4735.75,101
127,Tandoori Nights 127,4727.45,102
274,Taste of Punjab 274,4711.2300000000005,103
117,Masala Magic 117,4704.6,104
278,Curry Kingdom 278,4661.41,105
94,The Food Studio 94,4605.59,106
115,Annapurna Bhavan 115,4588.65,107
286,Urban Tadka 286,4587.98,108
205,Mughal Mahal 205,4586.87,109
297,Dragon Wok 297,4564.41,110
140,Golden Spoon 140,4557.620000000001,111
16,Taste of Punjab 16,4522.62,112
95,Rasoi Ghar 95,4502.08,113
21,Masala Magic 21,4496.29,114
148,Pizza Junction 148,4484.77,115
195,Flavours of India 195,4410.94,116
47,Caf̩ Masaledar 47,4406.02,117
