restaurant_id,restaurant_name,total_revenue
115,Annapurna Bhavan 115,4588.65
126,Annapurna Bhavan 126,4305.799999999999
168,Annapurna Bhavan 168,7496.389999999999
194,Annapurna Bhavan 194,1689.4199999999998
218,Annapurna Bhavan 218,6292.83
223,Annapurna Bhavan 223,5209.3099999999995
272,Annapurna Bhavan 272,3447.26
300,Annapurna Bhavan 300,6956.08
32,Annapurna Bhavan 32,2814.75
133,Biryani House 133,5538.42
138,Biryani House 138,3294.2799999999997
201,Biryani House 201,8083.049999999999
235,Biryani House 235,3686.6400000000003
239,Biryani House 239,4390.0599999999995
260,Biryani House 260,2637.2999999999997
285,Biryani House 285,7662.929999999999
64,Biryani House 64,1661.39
128,Bombay Bistro 128,3377.89
211,Bombay Bistro 211,3284.93
296,Bombay Bistro 296,7841.98
31,Bombay Bistro 31,4735.75
8,Bombay Bistro 8,2117.14
87,Bombay Bistro 87,2129.05
97,Bombay Bistro 97,3167.79
134,Burger Factory 134,3494.25
236,Burger Factory 236,5930.620000000001
265,Burger Factory 265,3560.02
292,Burger Factory 292,6170.299999999999
88,Burger Factory 88,6297.51
92,Burger Factory 92,13162.580000000002
102,Caf̩ Masaledar 102,3135.88
105,Caf̩ Masaledar 105,1820.26
111,Caf̩ Masaledar 111,2506.03
232,Caf̩ Masaledar 232,4988.42
47,Caf̩ Masaledar 47,4406.02
66,Caf̩ Masaledar 66,3746.02
1,Chai & Chat 1,1433.17
17,Chai & Chat 17,3156.61
173,Chai & Chat 173,3638.62
182,Chai & Chat 182,3607.1400000000003
19,Chai & Chat 19,3342.24
200,Chai & Chat 200,9419.76
214,Chai & Chat 214,5223.16
25,Chai & Chat 25,4910.43
258,Chai & Chat 258,1215.24
26,Chai & Chat 26,3329.29
284,Chai & Chat 284,7649.6900000000005
294,Chai & Chat 294,3020.3399999999997
53,Chai & Chat 53,3991.22
60,Chai & Chat 60,6008.48
82,Chai & Chat 82,1187.64
100,Chutney Express 100,2318.46
118,Chutney Express 118,4286.45
172,Chutney Express 172,6740.169999999998
177,Chutney Express 177,6648.5599999999995
12,Curry Kingdom 12,6136.879999999999
144,Curry Kingdom 144,1287.3799999999999
179,Curry Kingdom 179,5274.47
187,Curry Kingdom 187,2892.83
206,Curry Kingdom 206,3953.8700000000003
210,Curry Kingdom 210,1572.84
