restaurant_name,rating,total_revenue
Delhi Darbar 176,3.5,13877.56
Burger Factory 92,3.7,13162.58
Urban Tadka 288,3.6,12386.439999999999
Golden Spoon 41,4.9,11065.400000000001
Saffron Delight 71,3.4,11001.43
Saffron Delight 212,4.9,10926.5
Pizza Junction 213,4.9,9479.48
Chai & Chat 200,4.6,9419.76
The Food Studio 147,4.7,9413.07
Mumbai Masala 252,4.6,9088.22
Spice Villa 295,4.4,8926.39
Pizza Junction 161,4,8906.7
Spice Villa 253,3.8,8782.96
Kolkata Kitchen 56,3.9,8725.18
Punjabi Dhaba 112,3,8374.05
The Food Studio 86,3.7,8230.369999999999
Dragon Wok 215,4,8108.650000000001
Biryani House 201,3.8,8083.049999999999
Pizza Junction 156,3.1,7956.839999999999
Mumbai Masala 146,4.6,7868.080000000001
Bombay Bistro 296,4.9,7841.9800000000005
Punjabi Dhaba 276,4.9,7791.880000000001
Delhi Darbar 120,4.4,7763.58
Biryani House 285,4.4,7662.929999999999
Chai & Chat 284,3.1,7649.6900000000005
Dragon Wok 242,5,7591.4400000000005
Golden Spoon 249,4.9,7541.990000000001
Dragon Wok 158,3.8,7537.08
Annapurna Bhavan 168,3.9,7496.389999999999
Mughal Mahal 237,3.8,7457.34
Delhi Darbar 155,3.8,7374.860000000001
Golden Spoon 74,3.3,7271.419999999998
Delhi Darbar 174,3.3,7169.8200000000015
Masala Magic 55,4.1,7137.17
The Curry Leaf 103,4.6,7027.01
South Spice 93,4,6982.75
Annapurna Bhavan 300,4.1,6956.080000000001
The Curry Leaf 142,4,6948.589999999999
Urban Tadka 259,4.1,6866.200000000001
Masala Magic 63,4.7,6786.589999999999
Chutney Express 172,3.1,6740.169999999999
Dragon Wok 184,4.1,6702.089999999999
Punjabi Dhaba 136,3,6686.82
Flavours of India 35,3.9,6658.59
Chutney Express 177,4.2,6648.5599999999995
Punjabi Dhaba 233,3.2,6567.24
South Spice 291,3.4,6539.18
Mughal Mahal 164,4.1,6519.98
